Period,n,Flagged,Proportion
2006-10-01,6,NA,NA
2006-11-01,1,NA,NA
2006-12-01,4,NA,NA
2007-01-01,4,NA,NA
2007-02-01,43,NA,NA
2007-03-01,168,NA,NA
2007-04-01,431,NA,NA
2007-05-01,685,NA,NA
2007-06-01,635,1,0.0015748031496062992
2007-07-01,486,NA,NA
2007-08-01,822,NA,NA
2007-09-01,491,NA,NA
2007-10-01,777,NA,NA
2007-11-01,739,NA,NA
2007-12-01,1068,NA,NA
2008-01-01,1562,NA,NA
2008-02-01,1236,NA,NA
2008-03-01,2263,1,4.418912947414936e-4
2008-04-01,3132,NA,NA
2008-05-01,4363,1,2.2920009168003668e-4
2008-06-01,3611,NA,NA
2008-07-01,5321,NA,NA
2008-08-01,6584,NA,NA
2008-09-01,7645,2,2.616088947024199e-4
2008-10-01,8714,3,3.4427358274041774e-4
2008-11-01,12160,1,8.223684210526316e-5
2008-12-01,12309,5,4.062068405231944e-4
2009-01-01,17076,2,1.1712344811431249e-4
2009-02-01,23890,3,1.2557555462536625e-4
2009-03-01,44675,17,3.805260212646894e-4
2009-04-01,64965,28,4.3100130839682905e-4
2009-05-01,75321,28,3.7174227639038247e-4
2009-06-01,87707,27,3.0784315961097746e-4
2009-07-01,101268,60,5.924872615238773e-4
2009-08-01,97245,39,4.0104889711553294e-4
2009-09-01,110918,40,3.60626769325087e-4
2009-10-01,117208,52,4.4365572315882877e-4
2009-11-01,109481,38,3.470921895123355e-4
2009-12-01,108048,56,5.182881682215312e-4
2010-01-01,121066,48,3.9647795417375645e-4
2010-02-01,120587,65,5.390299120137329e-4
2010-03-01,148187,60,4.0489381659659755e-4
2010-04-01,150057,89,5.93107952311455e-4
2010-05-01,148894,54,3.626741171571722e-4
2010-06-01,158426,71,4.4815876181939835e-4
2010-07-01,167069,69,4.1300301073209273e-4
2010-08-01,175610,81,4.612493593758898e-4
2010-09-01,164866,91,5.519634127109288e-4
2010-10-01,179572,80,4.455037533691221e-4
2010-11-01,176473,82,4.6466031630901044e-4
2010-12-01,186385,129,6.921157818493977e-4
2011-01-01,220408,117,5.308337265435011e-4
2011-02-01,226744,79,3.4841054228557317e-4
2011-03-01,284673,125,4.391003010471664e-4
2011-04-01,303005,125,4.125344466262933e-4
2011-05-01,321902,173,5.374306465943051e-4
2011-06-01,344408,208,6.039348679473183e-4
2011-07-01,380116,182,4.788012080522788e-4
2011-08-01,419384,235,5.603456498101978e-4
2011-09-01,405633,213,5.251052059373867e-4
2011-10-01,436810,243,5.563059453767084e-4
2011-11-01,460077,238,5.173047120373329e-4
2011-12-01,507240,290,5.717214730699471e-4
2012-01-01,571587,329,5.755904175567324e-4
2012-02-01,578499,347,5.998281760210476e-4
2012-03-01,671480,335,4.988979567522488e-4
2012-04-01,687014,384,5.589405747190014e-4
2012-05-01,716282,473,6.603544414071553e-4
2012-06-01,722860,452,6.252939711700744e-4
2012-07-01,778612,507,6.511587286093715e-4
2012-08-01,807949,578,7.153916893269253e-4
2012-09-01,785026,451,5.745032648600174e-4
2012-10-01,832020,496,5.961395158770222e-4
2012-11-01,838265,503,6.000489105473806e-4
2012-12-01,857133,581,6.778411285063112e-4
2013-01-01,912461,637,6.981120288976734e-4
2013-02-01,799484,496,6.204001581019757e-4
2013-03-01,893030,558,6.248390311635667e-4
2013-04-01,904962,574,6.342807764303915e-4
2013-05-01,880812,573,6.505360962384708e-4
2013-06-01,865073,579,6.693076769243751e-4
2013-07-01,881619,596,6.760289875785345e-4
2013-08-01,907350,569,6.271008982200915e-4
2013-09-01,879239,543,6.175795204716807e-4
2013-10-01,859893,491,5.710012757401212e-4
2013-11-01,825860,480,5.812123120141428e-4
2013-12-01,829507,442,5.328466185336592e-4
2014-01-01,954063,506,5.303632988597189e-4
2014-02-01,854486,444,5.196106197175846e-4
2014-03-01,979462,402,4.1042939899659203e-4
2014-04-01,856610,392,4.576178190775265e-4
2014-05-01,848902,339,3.9933938193101206e-4
2014-06-01,823364,296,3.595007797280425e-4
2014-07-01,826670,358,4.330627699081859e-4
2014-08-01,788089,348,4.4157449222105626e-4
2014-09-01,768205,296,3.853138159736008e-4
2014-10-01,773670,280,3.6191140925717684e-4
2014-11-01,719249,262,3.642688415277602e-4
2014-12-01,700931,229,3.2670833505723103e-4
2015-01-01,768796,273,3.5510070291728884e-4
2015-02-01,733011,249,3.396947658357105e-4
2015-03-01,785104,271,3.451771994538303e-4
2015-04-01,741645,206,2.7776092335281705e-4
2015-05-01,742386,239,3.219349502819288e-4
2015-06-01,725860,269,3.7059488055547903e-4
2015-07-01,739135,233,3.152333470881503e-4
2015-08-01,767428,201,2.61913821231438e-4
2015-09-01,741801,225,3.0331584885973464e-4
2015-10-01,730680,171,2.340285761208737e-4
2015-11-01,715567,184,2.571387445200799e-4
2015-12-01,709079,174,2.4538873665698745e-4
2016-01-01,769072,192,2.4965152807539476e-4
2016-02-01,720231,188,2.61027364831561e-4
2016-03-01,751741,168,2.2348122558168306e-4
2016-04-01,731923,142,1.9400947913919908e-4
2016-05-01,728787,153,2.0993788308518128e-4
2016-06-01,731667,162,2.2141219981220965e-4
2016-07-01,706334,169,2.39263577854103e-4
2016-08-01,665555,148,2.2237080331452699e-4
2016-09-01,690318,145,2.1004812274922572e-4
2016-10-01,711550,146,2.051858618508889e-4
2016-11-01,707604,137,1.9361111582184387e-4
2016-12-01,632854,132,2.085789139359157e-4
2017-01-01,703032,153,2.1762878503396715e-4
2017-02-01,644274,151,2.3437233226856897e-4
2017-03-01,672618,111,1.650268057054673e-4
2017-04-01,614738,118,1.919516932416737e-4
2017-05-01,636589,122,1.9164641550513753e-4
2017-06-01,641161,142,2.2147323371196937e-4
2017-07-01,642916,121,1.88204991009712e-4
2017-08-01,672962,149,2.214092326164033e-4
2017-09-01,661378,156,2.3587116595955718e-4
2017-10-01,661505,199,3.0082916984754463e-4
2017-11-01,640057,129,2.015445499385211e-4
2017-12-01,614270,116,1.8884204014521302e-4
2018-01-01,643147,111,1.725888482726344e-4
2018-02-01,601035,118,1.9632800086517423e-4
2018-03-01,661582,103,1.5568742801345866e-4
2018-04-01,635058,108,1.7006320682520337e-4
2018-05-01,657800,156,2.3715415019762845e-4
2018-06-01,660865,155,2.3454109386939845e-4
