Period,n,Flagged,Proportion
2006-10-01,6,NA,NA
2006-11-26,1,NA,NA
2006-12-17,4,NA,NA
2006-12-31,1,NA,NA
2007-01-28,8,NA,NA
2007-02-04,16,NA,NA
2007-02-11,14,NA,NA
2007-02-18,7,NA,NA
2007-02-25,3,NA,NA
2007-03-04,22,NA,NA
2007-03-11,34,NA,NA
2007-03-18,22,NA,NA
2007-03-25,88,NA,NA
2007-04-01,40,NA,NA
2007-04-08,40,NA,NA
2007-04-15,118,NA,NA
2007-04-22,181,NA,NA
2007-04-29,177,NA,NA
2007-05-06,160,NA,NA
2007-05-13,138,NA,NA
2007-05-20,146,NA,NA
2007-05-27,158,NA,NA
2007-06-03,149,NA,NA
2007-06-10,152,NA,NA
2007-06-17,154,NA,NA
2007-06-24,138,1,0.007246376811594203
2007-07-01,138,NA,NA
2007-07-08,147,NA,NA
2007-07-15,70,NA,NA
2007-07-22,91,NA,NA
2007-07-29,125,NA,NA
2007-08-05,181,NA,NA
2007-08-12,144,NA,NA
2007-08-19,284,NA,NA
2007-08-26,139,NA,NA
2007-09-02,70,NA,NA
2007-09-09,98,NA,NA
2007-09-16,128,NA,NA
2007-09-23,167,NA,NA
2007-09-30,185,NA,NA
2007-10-07,204,NA,NA
2007-10-14,157,NA,NA
2007-10-21,145,NA,NA
2007-10-28,178,NA,NA
2007-11-04,200,NA,NA
2007-11-11,226,NA,NA
2007-11-18,114,NA,NA
2007-11-25,138,NA,NA
2007-12-02,162,NA,NA
2007-12-09,258,NA,NA
2007-12-16,273,NA,NA
2007-12-23,279,NA,NA
2007-12-30,399,NA,NA
2008-01-06,369,NA,NA
2008-01-13,354,NA,NA
2008-01-20,314,NA,NA
2008-01-27,273,NA,NA
2008-02-03,266,NA,NA
2008-02-10,288,NA,NA
2008-02-17,343,NA,NA
2008-02-24,314,NA,NA
2008-03-02,343,NA,NA
2008-03-09,478,NA,NA
2008-03-16,590,NA,NA
2008-03-23,666,1,0.0015015015015015015
2008-03-30,723,NA,NA
2008-04-06,663,NA,NA
2008-04-13,711,NA,NA
2008-04-20,731,NA,NA
2008-04-27,925,NA,NA
2008-05-04,1155,NA,NA
2008-05-11,1052,NA,NA
2008-05-18,872,NA,NA
2008-05-25,809,1,0.0012360939431396785
2008-06-01,800,NA,NA
2008-06-08,949,NA,NA
2008-06-15,891,NA,NA
2008-06-22,752,NA,NA
2008-06-29,900,NA,NA
2008-07-06,1097,NA,NA
2008-07-13,1362,NA,NA
2008-07-20,1245,NA,NA
2008-07-27,1336,NA,NA
2008-08-03,1393,NA,NA
2008-08-10,1424,NA,NA
2008-08-17,1482,NA,NA
2008-08-24,1720,NA,NA
2008-08-31,1572,NA,NA
2008-09-07,1699,NA,NA
2008-09-14,2059,1,4.8567265662943174e-4
2008-09-21,1748,1,5.720823798627002e-4
2008-09-28,1739,1,5.750431282346176e-4
2008-10-05,1919,NA,NA
2008-10-12,2032,2,9.84251968503937e-4
2008-10-19,1827,NA,NA
2008-10-26,2159,NA,NA
2008-11-02,2396,NA,NA
2008-11-09,3317,1,3.0147723846849563e-4
2008-11-16,3303,NA,NA
2008-11-23,2653,NA,NA
2008-11-30,2988,1,3.3467202141900936e-4
2008-12-07,2902,1,3.4458993797381116e-4
2008-12-14,2896,3,0.0010359116022099447
2008-12-21,2231,NA,NA
2008-12-28,2665,1,3.75234521575985e-4
2009-01-04,3525,NA,NA
2009-01-11,3614,1,2.767017155506364e-4
2009-01-18,3996,NA,NA
2009-01-25,4829,NA,NA
2009-02-01,4964,NA,NA
2009-02-08,5447,1,1.8358729575913347e-4
2009-02-15,6014,NA,NA
2009-02-22,7465,2,2.6791694574681847e-4
2009-03-01,7656,1,1.3061650992685477e-4
2009-03-08,9391,4,4.2593972952827174e-4
2009-03-15,11009,9,8.17512943954946e-4
2009-03-22,11489,2,1.7407955435634086e-4
2009-03-29,12774,6,4.697040864255519e-4
2009-04-05,12825,4,3.118908382066277e-4
2009-04-12,15031,6,3.991750382542745e-4
2009-04-19,17183,5,2.9098527614502704e-4
