,ID,location
0,3240328824,"Michigan, USA"
3,964508088,"Burbank, California"
4,380656026,Garland Texas
5,2978810988,Phoenix
6,118862053,Southern California
7,2241239400,Las Vegas 
9,45662267,"Quad Cities, IL"
10,840200192,CALIFORNIA
12,549700743,Chicago
13,3287840677,"Laguna Beach, CA"
14,66842124,"Los Angeles, CA"
17,349360797,Hillsboro 
18,1120375015,"2640 Stange Road, Ames IA 5001"
19,1623360134,Houston Tx/ Taylor Tx
20,1494373075,New jersey 
22,2830303002,Utah
23,16827432,"Blacksburg, VA"
25,573047637,"Nashville, TN"
26,198775075,detroit/chicago/orlando
27,519567807,"Zap Gay Bar, NYC"
28,2203169537,west Chester
29,3352633094,"Miami, FL"
30,543438005,"Carmel, IN"
31,454553825,"Memphis, TN"
32,483230016,Miami
33,766049077,"gettysburg, PA"
34,1968043831,"Worcester, MA"
35,388834878,Boston
37,71687279,Boston
40,2304485070,new york 
41,462032517,"Long Beach, California"
43,4920649989,"New Orleans, LA"
44,3222639894,"Lakeland, TN"
45,94646743,"Yonkers, NY"
46,30680546,New York
47,497436361,lombok. INA
48,1077373754,Wood Middle School
49,487932857,"Madison, WI"
51,423420620,"Virginia, DC Metro-Area"
52,938649985,mississippi
53,2570304765,"new wilmington, pa"
54,28205375,"888 Newark Ave,Jersey City, NJ"
56,1355727036,"preston,MO"
57,63680282,"Romsey, Hampshire"
59,2480242442,"USA, Oregon"
60,56616046,Indiana
61,4754969065,"Minneapolis, MN"
62,2224317143,Florida
63,363612508,California
64,963588882,New Jersey
65,34130283,dallas
66,611133138,"Los Angeles, CA"
67,31566641,san francisco
69,2982730233,"Ohio, USA"
70,88766838,"Dallas, TX"
71,3874177192,London / Manchester 
72,3044781899,Upstate NY
74,35619118,"Bradenton, FL"
75,196053681,Seattle WA
76,328774343,"South Bend, IN"
77,26924613,"Tampa, FL"
78,37442341,"Raleigh, NC"
79,1244948804,birmingham alabama
81,250611323,"Atlanta, GA"
83,3257485423,"San Francisco, CA"
84,104055710,"New York, NY"
87,2671959228,"Fort Worth, TX"
89,88751914,"Olympia, WA"
90,856490683,"Chicago, IL"
91,851850522,Ohio
92,1541777096,North Carolina
93,403338075,"Glendale, California"
94,430331350,"Lincoln, NE"
95,349397714,"Nevada,Mo"
98,41270529,VA
99,11194322,"Ellicott City, MD"
100,1934798071,"Bangor, Maine"
101,101154698,Vancouver
102,192749219,USA
103,351558922,"Atlanta, G.A."
105,18940818,Pennsylvania... USA...
106,459188846,Texas
107,336940496,houston
108,2986127769,"Nesbit, Mississippi "
109,1601652236,University of Michigan
110,50693458,"Carol Stream, IL"
111,3226237748,"Tampa, FL"
112,65516237,"Portland, OR"
113,46033739,São Luiz - MA
114,4217396098,connecticut 
116,1167863754,"Memphis, TN"
117,630122825,"glendale,ca"
118,3997939333,"Charlotte, NC"
119,91843809,"San Antonio, TX"
120,614354720,Richards Bay
121,2743341892,Nottinghamshire
122,243262858,"Sun Valley, ID"
124,189518936,Boston
125,375780754,Great Lakes State
127,741790663,"East Longmeadow, MA"
128,313548703,Sacramento
129,3032335688,"Tacoma, WA"
131,2343007063,"Tyler, Texas"
132,1861027544,"El Paso, Texas"
133,2191488728,Baton Rouge 
134,2819317262,"Palm Springs city, CA, USA"
135,1612121953,"Jacksonville, Florida"
136,80103192,"Portland, Oregon"
137,234048691,"LaPorte,Tx"
138,388231318,japan missouri
139,69648782,"Knoxville, TN"
140,78131136,Chicago
141,1074408199,New York
142,4801121838,NY
143,207652100,Ohio
144,1866422622,batam centre
145,104599380,Kings Cross via Surrey
146,66321082,FL
147,352033409,"Clinton, IA"
148,252047651,alexandria
150,418129404,Manchester
152,3075276820,"Deer Park, NY"
155,18592278,Ottawa
156,412034931,Pennsylvania made and raised!
157,3391432931,"West Fargo, ND"
158,3903966950,"Buffalo, NY"
159,1173977576,"Independence, MO 64050-2203"
160,735831661,"Fayetteville, NC"
161,480840517,San Francisco
162,17760399,Whitstable kent
163,707827190,"University City, MO"
164,16417558,"Georgia, USA"
165,166429104,Texas
166,2265237584,Florida
167,23855046,"Shoreline, WA"
168,1536787718,West Chester
169,523062850,Manchester
170,1308396007,California 
171,2287343654,"Rocky Top Tennesee, USA"
175,71288137,north salt lake
177,271183879,Houston!
180,737429455,Houston
182,125891593,"California, USA"
183,261023562,"San Antonio, TX"
184,505475510,south carolina
185,155676675,"Farmington, MI 48336"
186,422976232,"Memphis , 10"
187,2790011670,"Washington, DC"
189,3234918741,"Virginia, USA"
190,1576449649,"Inverness, CA, USA"
191,246453107,402 Meeker ave Brooklyn NY
192,4860029872,Georgia
193,4693446492,"Lehigh valley, Pa"
194,803009186,"Austin, Texas"
195,287158903,:) manchester
196,942127994,"Manado, ID"
198,295680278,"Sandusky, OH"
199,3294112980,"Mashpee, MA"
200,358241914,Garden City NY
201,2990457166,"Monticello, IL"
202,28349916,Houston
203,343705671,Southern California LA
204,3236249998,"Santa Ana, CA"
205,2389530404,"Haverhill, Massachusetts"
206,505013164,"Milton, KY"
207,203127307,"New York, USA"
209,704969468,"Cincinnati, OH"
210,360146077,illinois
211,441960584,Tennessee
212,190705548,"West Palm Beach, FL"
213,62053804,"Detroit, MI"
214,417005101,"Honolulu, O'ahu"
215,343082881,"WC, IL"
216,3268968804,"San Francisco, CA"
218,270647097,"Oakley, KS"
219,1628718338,Visalia
220,14248433,"Austin, Texas"
224,488546746,"Portland, OR"
225,27428170,Florida
226,954620376,Santa Rosa 
227,2481393517,"Fort Lauderdale, Fl"
228,218963562,"Chicago, IL"
229,387036981,nova milanese
230,292999388,Michigan
231,3348446659,"Knoxville, TN"
232,1179579620,"Mid-Atlantic, USA"
233,2564138761,York
234,194079848,"Kinston, NC"
235,372542478,"MONROE,LA"
236,213218102,"BAIDYABATI, HOOGHLY"
237,2735940413,"Beacon Hills, CA"
240,388430419,"Massachusetts, USA"
241,2989115726,Los Angeles
242,856310870,Greece
243,2708302099,Michigan
244,3056696627,"Ames, IA"
245,16496110,"Seattle, WA"
248,2700793852,"Baleendah, bandung"
249,1220061684,Jersey
250,274118465,New York
251,2347701008,BONE_Sulawesi Selatan
