,Case_insensitive,Case_sensitive
0,California,AL
1,Texas,AK
2,Florida,AS
3,New York,AZ
4,Pennsylvania,AR
5,Illinois,CA
6,Ohio,CO
7,Georgia,CT
8,North Carolina,DE
9,Los Angeles,DC
10,Michigan,FL
11,New Jersey,GA
12,Virginia,GU
13,New York,HI
14,Washington,ID
15,Arizona,IL
16,Massachusetts,IN
17,Tennessee,IA
18,Indiana,KS
19,Missouri,KY
20,Maryland,LA
21,Wisconsin,ME
22,Colorado,MD
23,Minnesota,MA
24,Cook,MI
25,South Carolina,MN
26,Alabama,MS
27,Harris,MO
28,Louisiana,MT
29,Maricopa,NE
30,Kentucky,NV
31,Oregon,NH
32,Los Angeles,NJ
33,Los Angeles,NM
34,Oklahoma,NY
35,Connecticut,NC
36,San Diego,ND
37,Utah,MP
38,Orange,OH
39,Iowa,OK
40,Nevada,OR
41,Arkansas,PA
42,Mississippi,PR
43,Kansas,RI
44,Miami-Dade,SC
45,Chicago,SD
46,Chicago,TN
47,Chicago,TX
48,Chicago,UT
49,Dallas,VT
50,Kings,VA
51,New York,VI
52,Riverside,WA
53,Houston,WV
54,Houston,WI
55,Clark,WY
56,Queens,
57,New York,
58,King,
59,San Bernardino,
60,Tarrant,
61,New Mexico,
62,Bexar,
63,Broward,
64,Harris,
65,Nebraska,
66,Santa Clara,
67,West Virginia,
68,Idaho,
69,Wayne,
70,Phoenix,
71,Phoenix,
72,Alameda,
73,New York,
74,New York,
75,Middlesex,
76,Philadelphia,
77,Philadelphia,
78,Philadelphia,
79,Sacramento,
80,San Antonio,
81,San Antonio,
82,Palm Beach,
83,Suffolk,
84,Hillsborough,
85,San Diego,
86,San Diego,
87,New York,
88,Bronx,
89,Hawaii,
90,Orange,
91,New Hampshire,
92,Nassau,
93,Suffolk,
94,Maine,
95,Dallas,
96,Franklin,
97,Travis,
98,Hennepin,
99,Dallas,
100,Oakland,
101,Cuyahoga,
102,Allegheny,
103,Miami-Dade,
104,Salt Lake,
105,Contra Costa,
106,Fairfax,
107,Wake,
108,Mecklenburg,
109,Fairfax,
110,Montana,
111,Fulton,
112,Rhode Island,
113,Montgomery,
114,Pima,
115,Collin,
116,Los Angeles,
117,San Jose,
118,San Jose,
119,Clark,
120,Hillsborough,
121,Fresno,
122,St. Louis,
123,Austin,
124,Pinellas,
125,Honolulu,
126,Delaware,
127,Westchester,
128,Marion,
129,Duval,
130,Milwaukee,
131,Fairfield,
132,Shelby,
133,Gwinnett,
134,Bergen,
135,Austin,
136,DuPage,
137,Erie,
138,Jacksonville,
139,Jacksonville,
140,Fort Worth,
141,Prince George's,
142,Pierce,
143,Kern,
144,Fort Worth,
145,Columbus,
146,Hartford,
147,Orange,
148,Denton,
149,Indianapolis,
150,Charlotte,
151,Charlotte,
152,South Dakota,
153,San Francisco,
154,San Francisco,
155,San Francisco,
156,Columbus,
